detection_rate,qc
0.98947148038012,yes
0.989907950859811,yes
0.99518463056145,yes
0.994592024300405,yes
0.989276310653428,yes
0.994872358998744,yes
0.989365024165561,yes
0.989585033675649,yes
0.990163445774753,yes
0.994968169591847,yes
0.995024946239612,yes
0.995039140401553,yes
0.989829882969135,yes
0.995078174346891,yes
0.989787300483311,yes
0.989719878214091,yes
